150002	2000004,0	SPaNK	0,2,1	15,9,500	47,47,12,12	5,6,5,5,5,5	1,0	0,0,0	0,0,0	1,0,0	1,0,0,0,0	prontera.gat,156,187	morocc.gat,160,94		0,1201,1,2,1,0,0,0,0,0,0 0,2301,1,16,1,0,0,0,0,0,0 0,909,1,0,1,0,0,0,0,0,0 		1,0 142,0 143,0 		
150003	2000005,0	Snoopy	0,1,1	0,0,500	40,40,11,11	9,9,1,1,9,1	0,0	0,0,0	0,0,0	3,0,0	1,0,0,0,0	prontera.gat,53,111	new_1-1.gat,53,111		0,1201,1,2,1,0,0,0,0,0,0 0,2301,1,16,1,0,0,0,0,0,0 				
150004	2000006,1	Shuyin	0,1,1	0,0,500	40,40,11,11	9,9,1,1,9,1	0,0	0,0,0	0,0,0	2,0,0	1,0,0,0,0	geffen_in.gat,106,177	izlude.gat,94,103		0,1201,1,2,1,0,0,0,0,0,0 0,2301,1,16,1,0,0,0,0,0,0 		1,0 142,0 143,0 		
150005	2000008,1	Evera	0,1,1	0,0,500	42,42,11,11	5,5,5,5,5,5	0,0	0,0,0	0,0,0	1,0,0	1,0,0,0,0	prontera.gat,155,132	payon.gat,87,117		0,1201,1,2,1,0,0,0,0,0,0 0,2301,1,16,1,0,0,0,0,0,0 		1,0 142,0 143,0 		
150006	2000009,1	azunza	0,1,1	0,0,500	42,42,11,11	5,5,5,5,5,5	0,0	0,0,0	0,0,0	1,0,0	1,0,0,0,0	new_1-1.gat,53,111	new_1-1.gat,53,111		0,1201,1,2,1,0,0,0,0,0,0 0,2301,1,16,1,0,0,0,0,0,0 		1,0 142,0 143,0 		
150007	2000010,1	Ayame-Chan	0,1,1	0,0,500	43,43,11,11	9,9,9,1,1,1	0,0	0,0,0	0,0,0	1,0,0	1,0,0,0,0	prontera.gat,53,111	new_1-1.gat,53,111		0,1201,1,2,1,0,0,0,0,0,0 0,2301,1,16,1,0,0,0,0,0,0 				
150008	2000011,0	berserker703	4001,14,9	179,324,796819	110,110,25,25	20,11,5,5,5,5	1,0	0,0,0	0,0,0	1,0,0	1,0,0,0,0	prontera.gat,133,202	izlude.gat,94,103		0,1201,1,2,1,0,0,0,0,0,0 0,2301,1,0,1,0,0,0,0,0,0 0,4014,1,0,1,0,0,0,0,0,0 0,1119,1,0,1,0,0,0,0,0,0 0,2305,1,16,1,0,0,0,0,0,0 0,949,7,0,1,0,0,0,0,0,0 0,914,15,0,1,0,0,0,0,0,0 0,511,3,0,1,0,0,0,0,0,0 0,705,13,0,1,0,0,0,0,0,0 0,1501,1,0,0,0,0,0,0,0,0 0,913,1,0,1,0,0,0,0,0,0 0,909,7,0,1,0,0,0,0,0,0 0,713,7,0,1,0,0,0,0,0,0 0,918,4,0,1,0,0,0,0,0,0 0,915,5,0,1,0,0,0,0,0,0 0,938,1,0,1,0,0,0,0,0,0 0,1010,1,0,1,0,0,0,0,0,0 0,1502,1,0,0,0,0,0,0,0,0 0,501,3,0,1,0,0,0,0,0,0 0,502,1,0,1,0,0,0,0,0,0 0,515,2,0,1,0,0,0,0,0,0 0,512,1,0,1,0,0,0,0,0,0 0,935,1,0,1,0,0,0,0,0,0 0,1558,1,0,1,0,0,0,0,0,0 0,2343,1,0,1,0,0,0,0,0,0 0,2327,1,0,1,0,0,0,0,0,0 0,1558,1,0,1,0,0,0,0,0,0 0,2343,1,0,1,0,0,0,0,0,0 0,2327,1,0,1,0,0,0,0,0,0 		1,9 142,1 143,1 	sewer_prt,1 	
150009	2000012,0	Uchiha	0,10,8	237,35,405	44,89,21,21	5,5,5,5,5,5	32,0	0,0,0	0,0,0	1,7,0	1,0,0,0,0	prontera.gat,273,354	prontera.gat,273,354		0,1201,1,2,1,0,0,0,0,0,0 0,2301,1,16,1,0,0,0,0,0,0 0,713,2,0,1,0,0,0,0,0,0 0,918,1,0,1,0,0,0,0,0,0 		1,7 142,0 143,0 		
150010	2000013,1	Ataru	0,4,2	0,10,445	55,55,14,14	9,9,1,1,9,1	9,0	0,0,0	0,0,0	11,0,0	1,0,0,0,0	prt_in.gat,131,71	new_1-1.gat,53,111		0,1201,1,2,1,0,0,0,0,0,0 0,2301,1,16,1,0,0,0,0,0,0 		1,1 142,0 143,0 	morison_meat,1 mother_marienu,1 	
150011	2000014,0	L  J	0,1,1	0,0,500	40,40,11,11	9,9,1,1,9,1	0,0	0,0,0	0,0,0	4,3,0	1,0,0,0,0	new_1-1.gat,53,111	new_1-1.gat,53,111		0,1201,1,2,1,0,0,0,0,0,0 0,2301,1,16,1,0,0,0,0,0,0 				
150012	2000015,0	Phoenix	0,1,1	0,0,500	40,40,11,11	9,9,1,1,9,1	0,0	0,0,0	0,0,0	3,0,0	1,0,0,0,0	prontera.gat,157,184	alberta.gat,116,57		0,1201,1,2,1,0,0,0,0,0,0 0,2301,1,16,1,0,0,0,0,0,0 		1,0 142,0 143,0 		
150014	2000016,0	dj*St!gma	0,1,1	0,0,500	42,42,11,11	9,9,5,1,5,1	0,0	0,0,0	0,0,0	15,0,0	1,0,0,0,0	prontera.gat,156,185	alberta.gat,116,57		0,1201,1,2,1,0,0,0,0,0,0 0,2301,1,16,1,0,0,0,0,0,0 		1,0 142,0 143,0 		
